hash,msg,files,lines,committer_date,modified_file,merge,branches
92687bb9dac1d11730146c65c878d37e364986a0,Merge develop into yoda-cube,37,2596,2013-06-25 13:55:00+05:30,[],True,['master']
39c9ec1bb48b675b9e9a5912b9cdfe8f113c1fc2,Update hive cli packaging,20,663,2013-06-25 14:11:54+05:30,"[['beeline', 'ADD', None, 'tools/scripts/beeline'], ['beeline.sh', 'MODIFY', 'tools/scripts/ext/beeline.sh', 'tools/scripts/ext/beeline.sh'], ['hiveserver2.sh', 'ADD', None, 'tools/scripts/ext/hiveserver2.sh'], ['orcfiledump.sh', 'ADD', None, 'tools/scripts/ext/orcfiledump.sh'], ['beeline.sh', 'ADD', None, 'tools/scripts/ext/util/beeline.sh'], ['cli.sh', 'ADD', None, 'tools/scripts/ext/util/cli.sh'], ['debug.sh', 'ADD', None, 'tools/scripts/ext/util/debug.sh'], ['help.sh', 'ADD', None, 'tools/scripts/ext/util/help.sh'], ['hiveserver.sh', 'ADD', None, 'tools/scripts/ext/util/hiveserver.sh'], ['hiveserver2.sh', 'ADD', None, 'tools/scripts/ext/util/hiveserver2.sh'], ['hwi.sh', 'ADD', None, 'tools/scripts/ext/util/hwi.sh'], ['jar.sh', 'ADD', None, 'tools/scripts/ext/util/jar.sh'], ['lineage.sh', 'ADD', None, 'tools/scripts/ext/util/lineage.sh'], ['metastore.sh', 'ADD', None, 'tools/scripts/ext/util/metastore.sh'], ['metatool.sh', 'ADD', None, 'tools/scripts/ext/util/metatool.sh'], ['orcfiledump.sh', 'ADD', None, 'tools/scripts/ext/util/orcfiledump.sh'], ['rcfilecat.sh', 'ADD', None, 'tools/scripts/ext/util/rcfilecat.sh'], ['execHiveCmd.sh', 'ADD', None, 'tools/scripts/ext/util/util/execHiveCmd.sh'], ['hive', 'MODIFY', 'tools/scripts/hive', 'tools/scripts/hive'], ['hiveserver2', 'ADD', None, 'tools/scripts/hiveserver2']]",False,['master']
8fda4460e32f6927e40889d92551c432443c54ff,Remove es packaging from dist,1,3,2013-06-25 14:13:14+05:30,"[['dist.xml', 'MODIFY', 'grill-dist/src/main/assembly/dist.xml', 'grill-dist/src/main/assembly/dist.xml']]",False,['master']
5ad9abac3c2f864f1d7aebce22c0be4b2598a966,Merge develop into yoda-cube,21,666,2013-06-25 14:14:38+05:30,[],True,['master']
fea512918296141465b819a1ed653c0449af6258,Add cli for creating yoda cubes,1,174,2013-06-25 15:22:32+05:30,"[['yoda-cube.sh', 'ADD', None, 'tools/scripts/yoda-cube.sh']]",False,['master']
4c7ba001914a865edb6a73ad41f37b22c5dfffd4,Use hive.io.file.nob.group.ids instead of hive.io.file.readcolum.ids,1,5,2013-06-26 11:43:21+05:30,"[['LazyNOBColumnarSerde.java', 'MODIFY', 'grill-yoda/src/main/java/org/apache/hadoop/hive/serde2/columnar/LazyNOBColumnarSerde.java', 'grill-yoda/src/main/java/org/apache/hadoop/hive/serde2/columnar/LazyNOBColumnarSerde.java']]",False,['master']
a4a0633b46e5f4327fde54455f46888561c93532,"Merge pull request #1 from platform/yoda-cube

Yoda cube",25,22228,2013-06-26 06:14:55+00:00,[],True,['master']
cdf4a9b03bbe34e873d9c663e74f6f51d390b877,[GRILL-24] Calls in driver API should throw GrillException,3,119,2013-06-27 10:36:58+05:30,"[['GrillDriver.java', 'MODIFY', 'grill-api/src/main/java/com/inmobi/grill/api/GrillDriver.java', 'grill-api/src/main/java/com/inmobi/grill/api/GrillDriver.java'], ['CubeGrillDriver.java', 'MODIFY', 'grill-driver-cube/src/main/java/com/inmobi/grill/driver/cube/CubeGrillDriver.java', 'grill-driver-cube/src/main/java/com/inmobi/grill/driver/cube/CubeGrillDriver.java'], ['HiveDriver.java', 'MODIFY', 'grill-driver-hive/src/main/java/con/inmobi/grill/driver/hive/HiveDriver.java', 'grill-driver-hive/src/main/java/con/inmobi/grill/driver/hive/HiveDriver.java']]",False,['master']
50f1453ccf203fb4529783816953bd9b3ac2b9a6,"Merge pull request #2 from platform/hive-driver

[GRILL-24] Calls in driver API should throw GrillException",3,119,2013-06-27 05:30:15+00:00,[],True,['master']
8c02c265f8e1ad91c29e97ef7624f298f3ae305e,Upgrade thrift verison to 0.9,1,2,2013-06-27 11:24:54+05:30,"[['pom.xml', 'MODIFY', 'grill-driver-impala/pom.xml', 'grill-driver-impala/pom.xml']]",False,['master']
87176abcd6f8812f6a89ee5d3fa510a8f89a8361,Add cube_defn.properties in yoda module,2,716,2013-07-03 14:48:34+05:30,"[['cube_defn.properties', 'ADD', None, 'grill-yoda/src/main/resources/cube_defn.properties'], ['TestCubeDDL.java', 'MODIFY', 'grill-yoda/src/test/java/com/inmobi/yoda/cube/ddl/TestCubeDDL.java', 'grill-yoda/src/test/java/com/inmobi/yoda/cube/ddl/TestCubeDDL.java']]",False,['master']
f3decf49139d5b987de0fbd26a3afc6f91a84e61,Add ddl for populating partitions,4,177,2013-07-11 14:00:00+05:30,"[['CubeDDL.java', 'MODIFY', 'grill-yoda/src/main/java/com/inmobi/yoda/cube/ddl/CubeDDL.java', 'grill-yoda/src/main/java/com/inmobi/yoda/cube/ddl/CubeDDL.java'], ['PopulatePartitions.java', 'ADD', None, 'grill-yoda/src/main/java/com/inmobi/yoda/cube/ddl/PopulatePartitions.java'], ['TestDDL.java', 'RENAME', 'grill-yoda/src/test/java/com/inmobi/yoda/cube/ddl/TestCubeDDL.java', 'grill-yoda/src/test/java/com/inmobi/yoda/cube/ddl/TestDDL.java'], ['yoda-cube.sh', 'MODIFY', 'tools/scripts/yoda-cube.sh', 'tools/scripts/yoda-cube.sh']]",False,['master']
0aa291278d2e668be38a1ad888ced02b2feee2e0,Add raw fact creation and populating partitions,3,177,2013-07-15 17:51:45+05:30,"[['CubeDDL.java', 'MODIFY', 'grill-yoda/src/main/java/com/inmobi/yoda/cube/ddl/CubeDDL.java', 'grill-yoda/src/main/java/com/inmobi/yoda/cube/ddl/CubeDDL.java'], ['PopulatePartitions.java', 'MODIFY', 'grill-yoda/src/main/java/com/inmobi/yoda/cube/ddl/PopulatePartitions.java', 'grill-yoda/src/main/java/com/inmobi/yoda/cube/ddl/PopulatePartitions.java'], ['TestDDL.java', 'MODIFY', 'grill-yoda/src/test/java/com/inmobi/yoda/cube/ddl/TestDDL.java', 'grill-yoda/src/test/java/com/inmobi/yoda/cube/ddl/TestDDL.java']]",False,['master']
693d43f53fe74e4c2165faf11fe455f534f25901,Add ddl for populating dimension partitions,2,189,2013-07-16 14:19:13+05:30,"[['PopulatePartitions.java', 'MODIFY', 'grill-yoda/src/main/java/com/inmobi/yoda/cube/ddl/PopulatePartitions.java', 'grill-yoda/src/main/java/com/inmobi/yoda/cube/ddl/PopulatePartitions.java'], ['TestDDL.java', 'MODIFY', 'grill-yoda/src/test/java/com/inmobi/yoda/cube/ddl/TestDDL.java', 'grill-yoda/src/test/java/com/inmobi/yoda/cube/ddl/TestDDL.java']]",False,['master']
f5ecccbcaab41a205c654df2d625b6caa5adea2e,Hive Driver executeStatementAsync,3,288,2013-07-26 16:48:27+05:30,"[['QueryHandle.java', 'MODIFY', 'grill-api/src/main/java/com/inmobi/grill/api/QueryHandle.java', 'grill-api/src/main/java/com/inmobi/grill/api/QueryHandle.java'], ['QueryStatus.java', 'MODIFY', 'grill-api/src/main/java/com/inmobi/grill/api/QueryStatus.java', 'grill-api/src/main/java/com/inmobi/grill/api/QueryStatus.java'], ['HiveDriver.java', 'MODIFY', 'grill-driver-hive/src/main/java/con/inmobi/grill/driver/hive/HiveDriver.java', 'grill-driver-hive/src/main/java/con/inmobi/grill/driver/hive/HiveDriver.java']]",False,['master']
