type,hash_test_creation,test_file,hash_test_impl,impl_file
same,c2957eb45cc4ee0756d11ff9a9567d3f1cca0ba4,TestMetricsModes.java,c2957eb45cc4ee0756d11ff9a9567d3f1cca0ba4,MetricsModes.java
before,d105abcb910a6de9a33b5ece61ac27f753044505,TestSparkTableUtil.java,8dd269bd5f1cc0c5260c83c22a1e010a6f92e460,SparkTableUtil.java
same,1dda1ada9c5b338fd0383b7f528707b8506c49a6,TestNameMapping.java,1dda1ada9c5b338fd0383b7f528707b8506c49a6,NameMapping.java
after,26765c8f0f6986c7aa8b7a2e456cb7e85d2e23f5,TestMetrics.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,Metrics.java
same,dd4004b0c8e6df7174a1f083ff8240d1b6ad7e3f,TestFindFiles.java,dd4004b0c8e6df7174a1f083ff8240d1b6ad7e3f,FindFiles.java
after,44ebc5bf7f38c0f12c8f0267a42b6a48ce6a9213,TestRewriteFiles.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,RewriteFiles.java
after,44ebc5bf7f38c0f12c8f0267a42b6a48ce6a9213,TestRewriteManifests.java,9245abd248fb4e37b6eca39aca8bfab044d815fa,RewriteManifests.java
after,fd61674cd8f39d59175dfb678f99fcee8e87a498,TestGenericRecord.java,68b5204368505537087fc289a094cea5215bd058,GenericRecord.java
after,c5542826e3267b156591d65c95df221c56ad2dca,TestTypeUtil.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,TypeUtil.java
same,c3449349cbb60d16a26ee1c10f527ba87f71f3a7,TestHasIds.java,c3449349cbb60d16a26ee1c10f527ba87f71f3a7,HasIds.java
same,24496a836b0c67ae93090684ca423688289fb2a9,TestHadoopCatalog.java,24496a836b0c67ae93090684ca423688289fb2a9,HadoopCatalog.java
after,c4cc4dcc427ddd62b8ae88b4120d6783d787b09e,TestTableMetadata.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,TableMetadata.java
after,44a0a830987e4964520123db730aef1a0ac7dc0f,TestRemoveSnapshots.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,RemoveSnapshots.java
after,ca54729ab920ae47cf4fea8651d14b028693fea0,TestSnapshot.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,Snapshot.java
same,20fa2c48d312c56843efaa8cf51d35ca61ecf79a,TestORCSchemaUtil.java,20fa2c48d312c56843efaa8cf51d35ca61ecf79a,ORCSchemaUtil.java
after,fb1eb3a65e2065ab69e84edd7c82bcfb975acc23,TestGenericManifestFile.java,54f9a0ffaa0cc69a25818fcdfbc9b8bfc579fe67,GenericManifestFile.java
after,fb1eb3a65e2065ab69e84edd7c82bcfb975acc23,TestManifestWriter.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,ManifestWriter.java
same,2562649b097a89b2495d3a9118fd3b64ce82367a,TestIncrementalDataTableScan.java,2562649b097a89b2495d3a9118fd3b64ce82367a,IncrementalDataTableScan.java
after,c3dc9824b381e5e479e356be5e0f4fcf61a9fc37,TestManifestReader.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,ManifestReader.java
same,2dc7689d0e78b2db37bfb6a33c8bc933f5947cf0,ArrowSchemaUtilTest.java,2dc7689d0e78b2db37bfb6a33c8bc933f5947cf0,ArrowSchemaUtil.java
after,a908d9c0d55621703797594a4f57cf3e95ea05dc,TestCloseableIterable.java,d972f45d93f12d554e1bf50e7b115b3fc8ec3152,CloseableIterable.java
same,71a7ab986a003fab614d076cffb5a4580062806e,TestIcebergInputFormat.java,71a7ab986a003fab614d076cffb5a4580062806e,IcebergInputFormat.java
same,bedc9c77036c882f6850fe3f3e6db93e4bb19efd,TestRemoveOrphanFilesAction.java,bedc9c77036c882f6850fe3f3e6db93e4bb19efd,RemoveOrphanFilesAction.java
after,b6cdc694b6b5a1040d6a2ffb4e72446fe52309c4,TestPartitionSpecParser.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,PartitionSpecParser.java
after,34126d20d29fa12848dd28b305a918f8a1219979,TestHiveCatalog.java,e133f537c309270dc251f8095a141fdeee30045c,HiveCatalog.java
after,3160518b01a84042d27dc958b728f22746d964bf,TestSparkDataFile.java,a5eb3f6ba171ecfc517a4f09ae9654e7d8ae0291,SparkDataFile.java
same,0c8ab3d856998fee0b03f403630ccb58fcbf9fdd,TestRewriteManifestsAction.java,0c8ab3d856998fee0b03f403630ccb58fcbf9fdd,RewriteManifestsAction.java
