hash,lines,files,num_test_files,commit_size
5d006e57036b87c093887dab225b1599bc04bc59,249,5,0,254
4540b7bd50ff8559ab1fd675146f887096da756e,2701,36,9,2737
8990165aa9e32ca5986cbe40c4f8620286ca90f7,2,1,0,3
2c5ba09ad44700ad3339d32389faeff7945a1a63,1,1,0,2
8ff01ec269731043c3bffc64f0ce258b41c8d4f7,260,8,0,268
0e14cdd88d9e129d56af3f826f489cfc6d5f29b0,33,2,0,35
a9d052a3a27a93dc0a47f44dc721dfed25c9daeb,3,1,0,4
0a46ee9e72814cd5cf468af0299d60deed9265e9,1465,21,3,1486
a5a736c67e6c10c39cba740fa39d48bfa63885bb,2,1,1,3
df724cfce8ff42061c567576c964be8f90d48616,78,4,3,82
1fadef949dc418ee89fe10d68680c78f9f820d86,8,1,0,9
8b9feef69f0f75a38676153316ed558e844c6c20,27,3,1,30
2619f7bae7a024ab50e0106c0784e78a2520b0c3,8,1,0,9
d640d794e4502881332f3f3772916c49f44e79b1,69,7,0,76
714d6af5f296d34d05933f96cfbb68555a8a9ffb,10,2,0,12
6ac1fd3d7eead707129ef02436a1298b7ef43c94,172,5,0,177
b1a7ecef5dd55c4eb281060595b8d44eb9f39b43,156,8,0,164
2658edc842e38a050749f34213f10550e3d70620,60,16,2,76
dd8024a1a7fdfced47cbca884962e459217ec925,11,1,0,12
6fcd88fee7dfab41158274163f362e679df3340d,202,1,0,203
afffc8d7425df8a21c9f80a097101a7e63e498de,0,0,0,0
e938db9eb52e05c978a28893dfc4ff6d58325cd6,7,1,0,8
ff1279ca3e40caaebe51bddcb12b9025426bd7e4,51,4,0,55
ba11458b0ad51b9ae219d3f668964e63daa83e53,7,1,0,8
1f449b9c7187cd8122ac134d0fa0bb0ba3c9d736,89,1,0,90
ce70601c0a78a6a617494657bdbb7e29814fc1a0,55,3,0,58
16f0dd648020bdd3a102a905bce1262bcbb3d4df,23,1,0,24
543dd8dc4dc3f0dbd63a522306424fb9254842c8,54,1,0,55
711541ed774c6226b0b12622f74ef154e29f886d,0,0,0,0
0bad3708253567241dcfb16913033e040ef4aae3,91,4,1,95
a632eccf41f16ba0e1c4ad082e8f1b286c3ed2a7,24,4,1,28
a05df6f34e897ab3d93a38fbdf36c43b08326c42,37,1,0,38
af93629f94d339b1fc11bac8981e944d0c5754ff,179,1,0,180
1f0bac7038998fa43581d5a3459957cef965d5eb,258,1,0,259
7b1a24f28a3e7633b515a51018bbd0798fe73acd,17,3,0,20
b9d5c247de7a47395af1be14f35afe3320476328,107,9,3,116
d87e1ba0ebee070864672a2162353b6dd06228fc,620,14,2,634
01da3efdf8947616a9d23a572dd80927915f0cc4,278,5,1,283
51050a5e220cba8c769287fd9141ec5552bc80ef,13,2,1,15
2ac458c33a82e89ab0a0f11e6c69e04d031c38c5,755,9,1,764
14c5baeef7202336b2bb7b7b92920c01d7c625b9,0,1,0,1
e5b8a2ecccb61b4722551ad64be93aac5f9205cd,396,2,1,398
6ba3d344ec1640e160479e2b1d2b2630eb50bdc7,8950,178,23,9128
191987c7caf4bec34c18b670b7a5f886b3b60c5a,279,26,2,305
83132c138642d9f08bccc8b13934d85b811fb369,1177,24,0,1201
e484b24dbc2eb6a8aac89e8c49fd36c456b3d3ea,29,3,0,32
e29ffd9feab0a84afc53c80b5a63cbb9721b91a3,1139,31,5,1170
043472b8ab4ff28e8399cf33665a781b72b01e39,54,1,0,55
6b392563da8a12d213e19eff076656489f149a78,624,5,0,629
b7ad70d4650f4a850f392c8deaf54368f8b34fdf,727,11,1,738
31f94d7b6aae34a492b80bfb7fece1e6cef8c237,1848,53,13,1901
1a0a7d0c6ba1b988313b2602c5a0a3a8bb4afe22,685,26,6,711
4bf0d8cd44d78ae886dcdcc83ef20d99711cc6f7,1,1,0,2
43c4de738308361aa3b778e4a291670ac4eb699a,10,1,1,11
9adf65f80ad0299893b4ea31f5a38e854503d429,640,10,1,650
5ffc9abd48425be5b270ab0520f92f9accdce9a4,1827,23,3,1850
dfa01d74c22f672ecf02d76011ab61cdbee9aee0,640,10,0,650
64998fa2861f926c09a04b85985c8a3e110658e0,1107,20,1,1127
4a2245d1d8660ded1a308491b63eb63107c125c2,107,4,0,111
88d950405514a79f19800a266f272834c5d94793,4,1,0,5
20e1a59d3d6e181fc63f5a56adeb296046886cbd,75,6,1,81
751569629efd39e2a87cb4126bd322d22bfb6fd7,34,2,0,36
32cc84d795b0b1a48fee2fc7c4c4894385087c3e,22,1,1,23
9bc18c56485c8798ce5fbe2f4f1b339d7a970a49,193,19,3,212
f5be7d7108cbb3c7df598dc241ba4441ee462f7f,124,8,4,132
cb4f197a11e1b5cc9084ef495d2ab8896cf5a013,123,3,1,126
21724348ea106b72baa5848cccfa7dd7248d237c,49,2,0,51
6f1fca756c860f07f7efdd5b7e03d4ba6aa750ac,5,1,0,6
87d7c5bf38d00428a20b801bbbaa571017a4430b,252,10,1,262
93545690abbec16244334cf35f0eb487c2a4e54b,35,2,0,37
8348fea4b23c83bd12e20f0840cc6951bd0d7c2d,924,24,9,948
469fd114d2a1922e13301df532f5aee474928dbf,602,13,4,615
701a0c3588f05354a707d24f2a194b8de4f81452,43,4,1,47
6b1a668a4a5f0d42744e9c949a9df1f1622bfadf,107,11,2,118
2684051d4c182781712a9e79b81c08a9112ec489,225,5,0,230
f125b108a0d7caffca30fce720961fd9144ff947,33,5,1,38
495bc469ba66f378792902462b11b205c406b589,2300,87,6,2387
317176aadda464435c5e13037709db730266e02a,1127,28,0,1155
5df07f22e24146a6593754a334c38e94f6de5f3d,22,1,0,23
57c552ae6e1233b2ef5022c298aba8e4641394a2,13,1,0,14
2e0e1d3f17481ae331dd2bac2d109ced3c50afe6,236,7,0,243
41b41dcd19218a625ec04ad4cd7fc148e834c1e5,320,47,3,367
e110f7a22b65d9d4e491b23c6633bc68c1f915b7,144,6,0,150
4ee5b56447f68d1f0f4bb1e4c664d8d48530b4b3,152,15,1,167
83f449405a4e40a4a415d9370d5961f5298fdf16,184,7,1,191
f367188cbab673a9c0edb01dbc02fecd8f1949cf,2,1,0,3
5731395af67400c84d79e587dfd3249135f266b0,108,4,1,112
9f1eafbe2c08b6c6432a0ff77cf2c06ed19a465a,904,22,0,926
e09ea97d130c6f8be986723028442131552ac319,153,6,0,159
ba9dc3e5f55a54753b15108e2a64bc5ab67cd15f,1105,26,2,1131
37b6d21d0eb6a6ec7110ab36821803f297995672,1830,36,0,1866
fe50e9b2f752db8893682d6707282d19d823425b,108,3,1,111
511fae36d5779062b26aaa0b497df17813e6a56f,388,16,0,404
61c4d0307cd5ca86f754f7318aa3145e781c5bd4,20,3,0,23
282261ff6026c5bd35163e5bd2905195714c2908,62,3,0,65
b7f3cb4b4d6c3c22902bf485eed787fdf84b5ad8,81,1,0,82
ee4df37597b862383eb21a92d187ed13ba93aeea,94,1,0,95
d084401b839bab0ef59d0a33673c902382e5d761,1134,38,2,1172
ee15d81179c2ee649231dfc5515c3a2741d0e305,222,8,0,230
a1cf1c823c55ff1974fa46506b658a0e33548afd,11,1,0,12
f5d086c2d91553e7799e3a4f674647fc42703bd9,958,23,0,981
786e307be3af356694b3ade3b3a92857baedff69,1,1,0,2
9b5a6ff821b9462639bc60a68f1578f5e16a9fba,118,6,0,124
16d744b75d51061de10f8650fb8c476c23f3b21f,8,2,0,10
d09ef2583197bacb31f579d17702cf7fa12ab370,40,3,0,43
f162485afe9f2fda7c727b084174c18b5a767d50,1678,15,0,1693
e2a62cc8a7810543fb0f4f7ca6f38d7e11b8bb4c,353,14,0,367
9ebdd22d422eeeee55393e5f159740f0efa2b0db,6,1,0,7
25c6e631ad5f66beb6f6c2f0e7a05210b56ec492,6,3,2,9
cad8683ab4832343b47b4f8efbb10c7aeea794aa,25,2,0,27
777d4835710ab1857d47d96842c5c622757cac03,292,8,1,300
c1fdad633800aa15fb2d5875d3f03eb986ee9876,4,1,0,5
2b97d8bb353f96271e4015e5a73364c50dfa2bb1,4,2,0,6
d799350b2ccd5696f0dcfa0329b18072524cf384,99,2,0,101
599ec85a29c47d591b5827d266a9c05bbcf7b4ba,275,7,0,282
dc67e3ff9a16c1b0309862ccc5027bc06d1d6954,149,2,0,151
64f1680cdf180acd8dbd2610587c4af36d5a55dc,61,3,0,64
430f1d80f009cb674bc5a851403537c65021218b,14,5,0,19
800736a8d7358cb07064bc0c371bab07d5a2f038,8,29,0,37
3534d6a0c89ed339fb4cea69680b1069142bbcf3,109,16,0,125
a6fbf2add4a40c103b5e3146c13804df34c4323c,118,7,0,125
2384e61b8d98f6e0c4531573d9808b45e3f34d46,27,5,0,32
75960e1e04c7c681c9ded552fbe06e0c45f2bd39,40,5,0,45
3edf7457893e9ffc6be399182bd9c875208e53a6,6,2,0,8
a1f45422a0cc1ae6fa45577b5322e8ba2de5b4b1,4,1,0,5
554c534bd5c71027740d266a960e749997efd6a1,6,2,0,8
b15a65a6965487b4d90774d56a91f9b5eb0cea2b,1066,13,0,1079
b83a1df394c5f258d9ad8314e8c66a92538793ab,2199,19,0,2218
128e4613cdcc0b5a8c46dc8526969682fba09cc0,27,4,0,31
d99d680ef1d8cb8f53c07c65f3a52bfa4027547a,376,5,0,381
9b2e384f2c7f1775a25891b836a003710385cb82,381,39,1,420
f0ba7ca155b65de67c81ac0e9979c17a52a56caf,139,4,2,143
eddbe54571efcb477853f7a748a9f44a8fe3dc0b,28,5,0,33
61ca72e10893fac097643aab490147408a306046,888,35,4,923
ae2d31c7a58c85fe2cff3dafa2dbe1e39f331bbc,73,3,2,76
d205789ab938db23a5c9fe806bd261d2a7dd8acc,265,10,0,275
b2031a71a631ea55f8450616cb45df871cd38525,88,4,1,92
330244a9e4c4f97c1911501169b50ada5e9772fc,119,3,0,122
d09c32ee318cb530273c5d9fef0740045bc978af,75,1,0,76
7db097623ecdb11e06e31e812aa1a454edf17ad3,28,3,0,31
a328c86acd3d311093e91f0e285c80675114ab09,22,2,0,24
0d2d0d4206182ef0ec494a976c155508f32e48df,200,1,0,201
b395dfe3bb065b8f980b9e8ba438ac3bb89a9af3,18,1,0,19
539ea2b89effa32475a9f8ceb97b44cca2fd0f61,81,1,0,82
97f2a86c5463c64c3c0f3e83159c4ce02e79eaef,2,1,0,3
886d6919ae463e1af1f646dd30271b53f2adbdc7,2,1,0,3
9ed2c0246e68bc5025865ab545235e010c65b982,10,1,0,11
5cd1567c3b0842dd6eb4fec7d3c81404612da288,742,36,0,778
47b1d04b12399ccc142685d08488e653d86b3c07,1298,13,3,1311
71b94f21ddd6f7385afe2fefbd540504a44e5ab8,384,4,0,388
0511c11b291b1c67a857b90753595b3c6aa66894,81,4,0,85
f68377eccda731dbc9ad5cc246ca930d97f7ade7,388,13,0,401
1ce6e367bbfa0f49eaee19bba19a5fe1b1bf3bdd,363,12,1,375
187ab8170f34deb028cedbc3934cb40c3b4fc750,2,1,0,3
31deadb643eb618c4b5fbd2d919daf57fe9d7d70,227,10,0,237
a84cd9c262a372fa2c5b7858d4cd233c8b0f5409,176,4,0,180
fb2fa76355c1fcd4cb4da3159f90c203b69610d0,4,1,0,5
ad693b0e7aa6c99ebc3455ae00d865505f4198b5,375,34,2,409
