hash,lines,files,num_test_files,commit_size
48ef66b4dfbdae93218f3886894f3ce4ccb7fc99,14,1,0,15
c73105c4c37bef5618c255b5988ebc29166c7737,51,5,0,56
4c0a1f764024574380636bb612b65e3f6ac9fd12,498,10,0,508
0549961a0e4740d628a493dfeaaad37f6531c73f,19,4,0,23
ea3d65e9736d742317b0fc0a3f328478ffd09c00,0,1,0,1
9385a2fca031b0c5dcf681172e151f6aea8e1ac1,517,14,0,531
ee02094ff08af675b619412686ef55dee6c7e09c,417,8,4,425
9223ad517e9d42434b9ceb388154afb472c325c2,1066,22,0,1088
817b54b4cb6bd96e77df5879fdc02fc2f0e73d10,287,8,0,295
615c23c3c573109646ffcc5e244e3cb4ff551328,169,6,1,175
b23e1f64bb362c838dafd18f324e23425e2b25d0,120,8,1,128
e186b7dcde95264a2dfdd2b179a23e1e2e4861f5,73,1,0,74
73d4fde0e069b31efc63e2a91a1d7c10984d9db1,437,7,3,444
0f88e2922f930a1c4486dbe8a7aea80df5a4dd7f,93,2,0,95
104b21971a95cc16042f7af2df55321ec45d63af,11,2,1,13
7133e58f53697bd544e647de24ba6c2c63a20a68,11,2,0,13
c4a41dd9e06334829a3d0ddd8535a8a7fa7ad0e1,153,5,1,158
072db3ed0a02e5f5476f5366eb4b654e837c3d62,337,14,3,351
48f0e8f83705dff3bf85bd4be91309144c7fa0ae,178,15,3,193
b6f0ca6b2b764a5697f05659626206fcdee10954,12,2,0,14
eaf317134352cf0c3309f9b747184ebf1400077b,286,9,0,295
4e5da20979304e9005f67bb93cca165ef9ed6f56,43,1,0,44
27c93d0622e49ad44d4d1c2a10a0a11c4ae1b241,120,1,0,121
8f2c7e598dde293312f6d1894affb7630bb62591,77,2,1,79
7dd9300aa63c3abf783ae5d8046c4bad8f1ccde3,173,10,2,183
e7354598b543a3f86ca304e07596d08c27d1660b,5,2,0,7
5334a2d7933483d032c914fa2dfeb269513b574e,120,8,0,128
11b6a8f09923617cd54bb55ad3216972dca00d8e,1298,29,0,1327
eaeff045457b3e31fd556744b2c134fc9cfaae61,717,6,2,723
c4c6991f1afe6b252a96794cb951d66c7890d656,479,5,2,484
180222e874d74fd26322786d612a418866fa020d,20,5,4,25
eba3e211269dd85265afcfb9af7d1f753b88b37b,291,9,0,300
f3f02f5bd5b0e36c81ee99ba04fc74a74cd0ba6a,719,22,0,741
0c3a1d852c60d52073aff296f39f8ad0cd87ec84,550,15,0,565
1954277c4ea81c9a748131b206f9df8ba69b9382,16,1,0,17
fa4c4ba7f075586b7eed9152bd7ea231c873cfca,2,1,1,3
d68307e877b95dd613fd1a6fe4479b87ea86aa90,311,14,0,325
448e8c8d09c1b7a01185fa83526c071d2348c564,119,9,0,128
faf756e88f6faef5526f8b2bf736ec0ba8d0b488,2,1,0,3
758bb8bb614c5efbbdba87574d23918c93fe01fa,73,1,0,74
d71d754eee3773b072af89330b440bb8dbca01f8,75,6,3,81
19106d078bf2ceaa5217c15fd08e777111f9ec40,73,1,0,74
676c471db22d895f08c04c240d3eb9616e48b0e2,96,2,1,98
db75e0be88ce935f290b71ea6198c75c4a6a341a,87,4,1,91
7aaf6f95908add6f9a0ef0f41290ed82fcee6b9b,22,2,1,24
770cf4d97a1cc27f9f07171c3a99bfff547904e8,426,5,2,431
e5dec2bf0ca372aa7d4053482cf29c79ed23df7e,87,4,1,91
b896112db485fadc5ca86ee441c7357ed1ef3931,2,1,1,3
48d9105d1b5e845a1af037968c88dad6aa374b4c,75,6,3,81
ba0f9adeafb5891b3235bf52d518693047e9ce9b,5,1,0,6
d2025609870d1fb68c0e75ded650906dbde00c29,63,1,0,64
d18ec37597717e0d50fa1ffb9a57b5be3875ab7f,118,3,0,121
78cff39a42d414c1cd6b5b04cda6a92296b9f6fc,798,20,0,818
cd7117b691ab04ce75b5ac0835ab278ae6bf7766,4,1,1,5
fd93ec2d73451333100e1f06714daf76945e38ab,184,10,0,194
d5ea0450fa81f6f5950d3924c5282d55ddace35b,1,1,1,2
da4b03430c42cd6148006a1fa68b979f36d0789b,60,4,1,64
2a3d6af012ffcb649704e5d1b177322e261f5e05,285,2,0,287
2883f89341e2d29b33fc1687d07d6f965eaee796,116,2,0,118
b89750bfe652dd83c8feed49cb55e0e6b47c31dd,109,5,1,114
17271e7299de20b95b88140753b6e6685ecf7c6e,4323,71,12,4394
f25dfdcc0302f29349e6ad85ea4341320268b86d,5,1,0,6
8ec8a9dae12484273453a57defba7cac80b82f58,39,7,1,46
d63ded4da366c4d81f5044c07f087ada719055f4,597,41,9,638
cd9e8fe1b7aa65b65f71b0b2c297c49e6ad45321,110,2,0,112
3043e759f82d447ffe236f07722ae9800259bdd9,111,2,0,113
2e09b42cbdbc2a4a903c7fdf4989b6635f4bc9eb,227,22,1,249
be0088631c6253e2f8ee7ba3715f3ea8d6dd001f,963,19,2,982
6cdf6aaabbc05e2b693dbb7a1688e908ffe98e09,104,1,1,105
f3adb6e39ada1ee15879295d1379e890045d37f1,20,4,0,24
781f40f97c09807ed21be2c00dbd708708d5ad43,32,2,0,34
1bd47c349d5416bd2fdfd62ad603ea581622de09,346,22,4,368
07d7aa0f26044e95cef3749454e6f16fcf6c2bf7,24,1,0,25
867e24b84c57f768949aa385553c76f442993dda,13,1,0,14
9c7e5f57e92419cc255e4597444afe7acb2c92aa,181,9,2,190
18d5082bb927a3f55717a2ffeafa304e0d921386,145,15,4,160
04b60eebb2be71b8253b011d64dbc0601ca85de3,399,19,7,418
d8a18ce3cf48509ffda49f4838603037118894ba,287,8,0,295
2ea29543f34e957cbdbee77ce1795c9ecf2150a3,414,19,5,433
4b060586ee79815e4cec5923ec211db9dda3e8bb,415,17,3,432
