hash,commit_size,num_test_files
1201459bb9aa22a3868744e6b8d56ef17401b45d,44,0
0a25822def3a86765b8aa372874b8a684b534a5b,5,0
ea5ee5faf9e1c7601f5e157a70bfaa73a2d33cdf,218,1
50430351007ac683d9651e34e8edb41c9c89de47,135,0
a0e197cb8d6464d23946c3c874d0cc741d166a2f,3,0
bab3e584d45f5c00225199e5b46e0dabc3a4a8a5,40,0
8f38df3fcccffbd0f28dae724dfd3b9ff72b10e1,158,0
7f34604a28eb20d1190163a67e045b069d339473,15,0
13e5418d2c4f5a7428dadcaafe14f2715398e72f,10,0
e21a1a8fa255b7ef42cca1b161fdf958e2d83b6a,133,3
86f0868970e7c26e4968a7a0d06468dcd3186165,63,0
f24f5d869625098f22582ee611b0755adc8fb070,149,1
645a012ac9018f4c2489ac15a33ccd34f2ff4423,463,0
d44713b27acfe1e2fdf0837abc13b8c3fcf162b4,24,0
4dad02b525e606d2d92741661f5ee88a887879eb,113,0
d9e94d717295f32cc27f7b674ea4d39bfd1b1c1c,14,0
d1c0c0fc915f1b7ee114c588ac286176b9b7e56b,222,0
c556dd5b3bb8f1eb320eb6584b897ffbf8a37bbd,74,1
6f9b53799f8cb5f6dd0c877fa76d3bdcfffc8962,342,0
156ec45ce17c05f2a8d7c592127a0925439179e7,2,0
5a64945f177ff102b107e289e81bb59520d807cc,99,1
cfae07a06393c5a8981c41425d4f7bfafbd3e611,114,0
1eef2979fa3a25bcaeb464ba7dd879580128fb3c,4,0
9f482fc6efb482f87f0ca5270fa502a2dbe8e6b1,536,0
923c8b18e21a7f68bdb0031e81cd7a9d4a27319e,13,0
eb53519fde35bdd5a2c1602d98123a5591963caf,49,0
fe7c851fe40bd1613572eca8cb9915ad8607344b,7,0
5a50352953fa22dbea1ac143d9cbe45fc938d4b4,37,0
595f0dafcf9d402928dd380ab5cca6df64c5ffb5,11,0
57fab67c607e2bec0b9b5d3d32c019be545b04db,5,0
30bc82d204892046be0be2b38be54236054d36a4,20,0
b76a129d3e6348eda5d86feedde642b6aa537b30,124,0
bb3c6d7152d4bc04eb93bc6d1ea71ff1c9ef44a3,3,0
e79ea9297db2cd387c5f7a97cec00610e072cbd6,55,0
683a07b36c94c5f483cd4a70f358626456512a2d,11,0
abb9c20e7f9abde7992005b44d0a85ad83de3f13,197,0
20655d5451b2c9e5e755cf139c282bcc45d05374,267,8
54db7ec80fb5378b18fdd65b4e1f8272a4eeddb9,159,0
6c5d18d228dee9ea866a57aa2e171023631157ef,466,0
c9a3e95a80b6a4c445d215b4b0802693ce1f9476,52,0
fe0c2c553d3d7a93535eb9f16b4a8b792a09643c,187,0
74e2c1cab1c1e66717515f70492acdcef116f25f,95,0
11e6fb0a7d54ab18232fd7fad113d4dcfd73f9e4,25,0
121b63dd7d76bf2962f5979ed8e6c7b6ff006fc1,10,0
99fa99f4639b100832b2fe389e94dc16bd9f9d0f,47,0
84ee00a718aff9e742f014e4d2d04746a54c7ff5,11,0
f1a49bfe10945d799a15113a85479e27ae2a775f,30,0
6137614ad032da3c2276c653984b4d1f2d1be9e2,7,0
4c903e42d93670cd71374ef5f2250b6560825e52,39,0
1489878907ae14c3993eff8d8aeca6e0f4276b74,57,0
437496f247c017863fa4180c280779dd90ac5b6d,93,0
29b3b95209a17d9dd899f39834b7b0effca1794d,21,0
16b3e591609a16f4abd76bd7d520a11d27adf64f,21,0
31d7b4a22be1d1b6e1f3f1718ac8a6e192c8f9fe,30,0
ed4e412d059885c80fb22178539217bbfd2018a9,30,0
1936e9531c7cefa48a7ce7ef079b6176627e4c66,23,0
da2de85f5c6c663b3d12633fd7ac78db7cdd52f2,173,0
eb6ae648b7d5b710d5d9440528c43b8ffd61aef7,46,0
531f862f9724e4a2864db9201ff7016101bc18a0,31,0
b74b9f8cbbce047e2ac403489d22fe209503ef30,162,0
d401dea5e2b3dff25ff2da6db9aadc618547c081,2,0
8181da583e400830435b5e8636ac6751a5ceda47,334,0
4c36d17df6285230d276cc701081540f13e275ab,115,0
d13685f2530043c3d04aad42dbfb1b21f53f2741,30,0
a242623ccb5643c652de4be84b1254856a1ece2d,71,0
8df8b5979ab6ee1b34b6beee0b57369b6c801e59,26,1
f93a260bedb7801007531d10e936ac8137f5b320,14,1
58d92d75e779addcab02b25603579849a66e019c,9,0
163a0588d7de03146680754d631811fd903a1338,5,0
2bf1aaf1b86abee3c874e13e7327260db6d6766e,9,0
010723d716ef965d10f15bb59b410d7c4dfcece8,116,0
972ccd33c291118f6a99c1696c96bdd41b8d1ab5,5,0
8bfdc8dd5c10a5e27d51ff2f036705b09012799e,3,0
ed531179f38fd487f2724b5d6536138cd7eb303e,9,0
50f50a1be3182db84d8612b972c5d87234112ef2,8,0
6a4e3b81923919a00f629e5353e4a52de693266a,2,0
d200f8b242e25e8f7d746ce12792e05ec367f047,8,0
91d7b5827b7801e3c996fbccd41896c68875de71,84,0
14b0b8f6938c48cd33c81cb512ec9f7d371a7a23,18,0
c2eb6eee0c4d8f4e65d00f2c1eca70fe3070ce86,3,0
bd85ae21c4d6fb698733d8b41f8ba8e49238f44f,35,1
4f598b73be11760b26671dc227fb366a606f4201,2,0
b762ce99b2ff8f0b77cb6a106b5dff7e8c3d058a,10,0
370353c9a027cf2002f4980246adf85bc1c37944,7,0
ba02062da4218b289eb617b97539b6f3d14aca6c,42,0
4f70b618007a2e11f6f308fe44e36935b627fb3e,14,0
821a6197b8a1e790a0335f2ab9ae9095ff26122b,69,2
82d2a20aef54ada94eee06a4daadab3ad4c32cc7,363,2
a3cb0d1f1efb8f6bf2eac19eac3181ea0c4ca50e,163,0
8ed699fa15b73f5d99040a80a4a9b4ed324fefdc,2,0
8b5bc2d55d4ab9e3f3f8980d5c779a2ffa4c38da,62,0
38ec3eae204c0b364576f418e9e188b02d474982,24,0
1b47658754b85637b09412188fce970f9751904c,141,1
9f71f8639d4285b1c99314ac2eb1d90111115f68,2,0
f51026343ed925489ad455600d37eb8c7d12ef3a,48,0
15659d1583ecac4d21862f780d9cbf6db8342f71,161,0
