type,test_file,hash_test_creation,test_creation_time,test_commit_files,test_commit_lines,impl_file,hash_impl_creation,impl_creation_time,impl_commit_files,impl_commit_lines
same,IntHashMapTest.java,4eda06575f1831350ff0545c2b78bb3cb9a811b5,2019-08-12 02:32:55+03:00,19,1670,IntHashMap.java,4eda06575f1831350ff0545c2b78bb3cb9a811b5,2019-08-12 02:32:55+03:00,19,1670
same,IntRWHashMapTest.java,4eda06575f1831350ff0545c2b78bb3cb9a811b5,2019-08-12 02:32:55+03:00,19,1670,IntRWHashMap.java,4eda06575f1831350ff0545c2b78bb3cb9a811b5,2019-08-12 02:32:55+03:00,19,1670
same,FrequencyEncoderPreprocessorTest.java,fb2e1e28818d3d96a7a9fcc86043d28f28e76e47,2019-08-16 16:21:55+03:00,7,303,FrequencyEncoderPreprocessor.java,fb2e1e28818d3d96a7a9fcc86043d28f28e76e47,2019-08-16 16:21:55+03:00,7,303
same,CompoundNaiveBayesModelTest.java,45024f07c0ce8c05a0abbba512da57e2cc5be435,2019-09-08 12:22:34+03:00,21,1001,CompoundNaiveBayesModel.java,45024f07c0ce8c05a0abbba512da57e2cc5be435,2019-09-08 12:22:34+03:00,21,1001
same,CompoundNaiveBayesTrainerTest.java,45024f07c0ce8c05a0abbba512da57e2cc5be435,2019-09-08 12:22:34+03:00,21,1001,CompoundNaiveBayesTrainer.java,45024f07c0ce8c05a0abbba512da57e2cc5be435,2019-09-08 12:22:34+03:00,21,1001
same,DeployingContextImplTest.java,cc7e40d94a4770ba75ab22174831c20f8e655275,2019-09-08 15:51:07+03:00,111,1695,DeployingContextImpl.java,cc7e40d94a4770ba75ab22174831c20f8e655275,2019-09-08 15:51:07+03:00,111,1695
same,RecommendationTrainerTest.java,cd5e39b783bc499837b569c2cf974a8fe308bcf2,2019-09-11 13:13:16+03:00,27,102809,RecommendationTrainer.java,cd5e39b783bc499837b569c2cf974a8fe308bcf2,2019-09-11 13:13:16+03:00,27,102809
same,BinaryClassificationPointwiseMetricStatsAggregatorTest.java,5cf2a2e362c8ef803282b31f9a67c6d0510b1730,2019-09-18 10:58:54+03:00,204,7815,BinaryClassificationPointwiseMetricStatsAggregator.java,5cf2a2e362c8ef803282b31f9a67c6d0510b1730,2019-09-18 10:58:54+03:00,204,7815
same,RegressionMetricStatsAggregatorTest.java,5cf2a2e362c8ef803282b31f9a67c6d0510b1730,2019-09-18 10:58:54+03:00,204,7815,RegressionMetricStatsAggregator.java,5cf2a2e362c8ef803282b31f9a67c6d0510b1730,2019-09-18 10:58:54+03:00,204,7815
same,BinaryClassificationEvaluationContextTest.java,5cf2a2e362c8ef803282b31f9a67c6d0510b1730,2019-09-18 10:58:54+03:00,204,7815,BinaryClassificationEvaluationContext.java,5cf2a2e362c8ef803282b31f9a67c6d0510b1730,2019-09-18 10:58:54+03:00,204,7815
